PL_NAME,SPEC_TYPE,AUTHORS,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE
55 Cnc e,Transmission,Tsiaras et al. 2016,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.132,1.6376,2458844.5603,2458844.5603,Unknown
AF Lep b,Direct Imaging,Franson et al. 2024,1,NIRC2 Camera,W. M. Keck Observatory,3.776,3.776,2460339.5,2460339.5,L
AF Lep b,Direct Imaging,Franson et al. 2024,1,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,4.402,4.402,2460229.5,2460229.5,F444W Epoch 1
AF Lep b,Direct Imaging,Franson et al. 2024,1,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,4.402,4.402,2460323.5,2460323.5,F444W Epoch 2
COCONUTS-2 b,Direct Imaging,Zhang et al. 2024,2001,FLAMINGOS-2 Spectrograph,Gemini Observatory,1.0104,2.4977,2458844.5603,2458844.5603,Unknown
CoRoT-1 b,Eclipse,Gillon et al. 2009,1,High Acuity Wide-field K-band Imager (HAWK-I),European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Yepun at Paranal Observatory,2.095,2.095,2458844.5603,2458844.5603,Table 1
CoRoT-1 b,Eclipse,Rogers et al. 2009,1,Near-Infrared Camera & Fabry-Perot Spectrometer (NIC-FPS),Astrophysical Research Consortium (ARC) 3.5m Telescope At Apache Point Observatory (APO),2.147,2.147,2458844.5603,2458844.5603,Table 3
CoRoT-1 b,Eclipse,Deming et al. 2011,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2458844.5603,2458844.5603,Table 1
CoRoT-1 b,Eclipse,Zhao et al. 2012,1,Wide-field InfraRed Camera (WIRC),California Institute of Technology 5.1m (200inch) Hale Telescope at Palomar Observatory,1.635,1.635,2458844.5603,2458844.5603,Unknown
CoRoT-1 b,Eclipse,Changeat et al. 2022,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2458844.5603,2458844.5603,Figure 2
CoRoT-1 b,Eclipse,Changeat et al. 2022,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6237,2458844.5603,2458844.5603,Figure 2
CoRoT-1 b,Eclipse,Glidic et al. 2022,10,Wide Field Camera 3,Hubble Space Telescope satellite,1.14,1.596,2458844.5603,2458844.5603,Unknown
CoRoT-1 b,Transmission,Schlawin et al. 2014,10,SpeX and MORIS,Infrared Telescope Facility,0.86,2.312,2458844.5603,2458844.5603,Unknown
CoRoT-1 b,Transmission,Ranjan et al. 2014,10,Wide Field Camera 3,Hubble Space Telescope satellite,1.144,1.59,2458844.5603,2458844.5603,Unknown
CoRoT-1 b,Transmission,Changeat et al. 2022,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6237,2458844.5603,2458844.5603,Figure 2
CoRoT-1 b,Transmission,Edwards et al. 2023,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6294,2458844.5603,2458844.5603,G141
CoRoT-1 b,Transmission,Jiang et al. 2023,40,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.53,0.92,2458844.5603,2458844.5603,Unknown
CoRoT-1 b,Transmission,Glidic et al. 2022,10,Wide Field Camera 3,Hubble Space Telescope satellite,1.14,1.596,2458844.5603,2458844.5603,Unknown
CoRoT-2 b,Eclipse,Gillon et al. 2010,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,8.0,2458844.5603,2458844.5603,Table 1
CoRoT-2 b,Eclipse,Alonso et al. 2010,1,LIRIS,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,2.15,2.15,2458844.5603,2458844.5603,eclipse depth taken from Abstract
CoRoT-2 b,Eclipse,Deming et al. 2011,3,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,8.0,2458844.5603,2458844.5603,Table 1
GJ 1132 b,Eclipse,Xue et al. 2024,14,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.25,11.75,2460126.5,2460126.5,Figure 2
GJ 1132 b,Transmission,Southworth et al. 2017,4,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,0.477,0.9134,2458844.5603,2458844.5603,Unknown
GJ 1132 b,Transmission,Southworth et al. 2017,2,PISCO,Carnegie Institution for Science (CIS) 6.5m Landon Clay Telescope at Las Campanas Observatory (LCO),0.475,0.775,2458844.5603,2458844.5603,Unknown
GJ 1132 b,Transmission,Diamond-Lowe et al. 2018,17,LDSS-3C,Carnegie Institution for Science (CIS) 6.5m Landon Clay Telescope at Las Campanas Observatory (LCO),0.71,1.03,2458844.5603,2458844.5603,Unknown
GJ 1132 b,Transmission,Swain et al. 2021,94,Wide Field Camera 3,Hubble Space Telescope satellite,1.13,1.637,2458844.5603,2458844.5603,Unknown
GJ 1132 b,Transmission,Libby-Roberts et al. 2022,22,Wide Field Camera 3,Hubble Space Telescope satellite,1.161,1.619,2458844.5603,2458844.5603,Table 2
GJ 1132 b,Transmission,Mugnai et al. 2021,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1263,1.6295,2458844.5603,2458844.5603,Table 4
GJ 1132 b,Transmission,May et al. 2023,60,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7666,5.1281,2458844.5603,2458844.5603,Firefly R100 (Visit 2)
GJ 1132 b,Transmission,May et al. 2023,60,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7663,5.1279,2458844.5603,2458844.5603,Firefly R100 (Visit 1)
GJ 1132 b,Transmission,May et al. 2023,59,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.794,5.1279,2458844.5603,2458844.5603,Exotic-jedi R100 (Visit 2)
GJ 1132 b,Transmission,May et al. 2023,59,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7935,5.1282,2458844.5603,2458844.5603,Exotic-jedi R100 (Visit 1)
GJ 1132 b,Transmission,May et al. 2023,60,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7663,5.1278,2458844.5603,2458844.5603,Eureka R100 (Visit 1)
GJ 1132 b,Transmission,May et al. 2023,60,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7668,5.1283,2458844.5603,2458844.5603,Eureka R100 (Visit 2)
GJ 1214 b,Eclipse,Kempton et al. 2023,14,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.25,11.75,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,Wilson et al. 2014,8,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.81,0.885,2455350.5635,2455723.539,Unknown
GJ 1214 b,Transmission,Gillon et al. 2014,4,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2454980.749,2454980.749,Unknown
GJ 1214 b,Transmission,Gillon et al. 2014,1,TRAPPISTCam,European Southern Observatory (ESO) 0.6m TRAnsiting Planets and PlanetesImals Small Telescope (TRAPPIST) at La Silla Observatory,0.838,0.838,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,C&aacute;ceres et al. 2014,1,OSIRIS,The Southern Astrophysical Research Telescope,2.14,2.14,2455783.5941,2455783.5941,Unknown
GJ 1214 b,Transmission,C&aacute;ceres et al. 2014,1,SOI,The Southern Astrophysical Research Telescope,0.8665,0.8665,2455315.7947,2455315.7947,Unknown
GJ 1214 b,Transmission,Berta et al. 2012,24,Wide Field Camera 3,Hubble Space Telescope satellite,1.123,1.656,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,Bean et al. 2011,36,MMIRS,Carnegie Institution for Science (CIS) 6.5m Landon Clay Telescope at Las Campanas Observatory (LCO),0.62,0.995,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,Croll et al. 2011,8,WIRCam,Canada-France-Hawaii Telescope,1.25,2.15,2455375.85,2455462.7722,Unknown
GJ 1214 b,Transmission,Kreidberg et al. 2014,22,Wide Field Camera 3,Hubble Space Telescope satellite,1.1465,1.6305,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,Narita et al. 2013,3,SIRIUS,Infrared Survey Facility,1.25,2.14,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,de Mooij et al. 2012,4,GROND,Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory,0.46,0.9,2455380.5901,2455380.5905,Unknown
GJ 1214 b,Transmission,de Mooij et al. 2012,1,LIRIS,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,2.27,2.27,2455426.4227,2455426.4227,Unknown
GJ 1214 b,Transmission,de Mooij et al. 2012,1,NOTCam,Nordic Optical Telescope,2.15,2.15,2455342.6606,2455342.6606,Unknown
GJ 1214 b,Transmission,de Mooij et al. 2012,2,WFC,Isaac Newton Group's Isaac Newton Telescope,0.63,0.82,2455342.6608,2455407.4575,Unknown
GJ 1214 b,Transmission,Nascimbeni et al. 2015,2,LBC,Large Binocular Telescope Observatory,0.5,0.775,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,D&eacute;sert et al. 2011,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2455312.6331,2455314.2134,Unknown
GJ 1214 b,Transmission,de Mooij et al. 2013,1,ACAM,Isaac Newton Group (ING) 4.2m William Herschel Telescope (WHT) at Observatorio del Roque de los Muchachos,0.4996,0.4996,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,de Mooij et al. 2013,1,FORS,Very Large Telescope (Antu),0.4543,0.4543,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,de Mooij et al. 2013,1,WFC,Isaac Newton Group's Isaac Newton Telescope,0.4962,0.4962,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,Murgas et al. 2012,3,OSIRIS,Gran Telescopio CANARIAS 10.4m telescope,0.6535,0.662,2455791.496,2455791.4968,Unknown
GJ 1214 b,Transmission,Rackham et al. 2017,14,IMACS spectrograph,Magellan I Walter Baade Telescope,0.5078,0.9162,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,Kempton et al. 2023,14,Mid-Infrared Instrument (MIRI) - LRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.2817,11.747,2458844.5603,2458844.5603,Unknown
GJ 1214 b,Transmission,Edwards et al. 2023,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6294,2458844.5603,2458844.5603,G141
GJ 1214 b,Transmission,Schlawin et al. 2024,59,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7738,5.1269,2460143.9303,2460143.9303,"Eureka! reduction, NRS1+NRS2 Visit 1"
GJ 1214 b,Transmission,Schlawin et al. 2024,59,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7738,5.1269,2458844.5603,2458844.5603,"Eureka! reduction, NRS1+NRS2 Averaged"
GJ 1214 b,Transmission,Schlawin et al. 2024,59,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.7738,5.1269,2460145.5107,2460145.5107,"Eureka! reduction, NRS1+NRS2 Visit 2"
GJ 341 b,Transmission,Kirk et al. 2024,54,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.9353,4.9737,2458844.5603,2458844.5603,Tswift; Visit 3
GJ 341 b,Transmission,Kirk et al. 2024,54,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.9353,4.9737,2458844.5603,2458844.5603,Tswift; Visit 2
GJ 341 b,Transmission,Kirk et al. 2024,54,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.9353,4.9737,2458844.5603,2458844.5603,Tswift; Visit 1
GJ 341 b,Transmission,Kirk et al. 2024,54,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.9353,4.9737,2458844.5603,2458844.5603,Tswift; 3 Visit Weighted Mean
GJ 341 b,Transmission,Kirk et al. 2024,57,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.9064,5.0036,2458844.5603,2458844.5603,Tiberius; Visit 3
GJ 341 b,Transmission,Kirk et al. 2024,55,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.91,4.99,2458844.5603,2458844.5603,Eureka!; 3 Visit Weighted Mean
GJ 341 b,Transmission,Kirk et al. 2024,57,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.9064,5.0036,2458844.5603,2458844.5603,Tiberius; Visit 1
GJ 341 b,Transmission,Kirk et al. 2024,57,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.9064,5.0036,2458844.5603,2458844.5603,Tiberius; 3 Visit Weighted Mean
GJ 341 b,Transmission,Kirk et al. 2024,55,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.91,4.99,2458844.5603,2458844.5603,Eureka!; Visit 3
GJ 341 b,Transmission,Kirk et al. 2024,55,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.91,4.99,2458844.5603,2458844.5603,Eureka!; Visit 2
GJ 341 b,Transmission,Kirk et al. 2024,55,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.91,4.99,2458844.5603,2458844.5603,Eureka!; Visit 1
GJ 341 b,Transmission,Kirk et al. 2024,57,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.9064,5.0036,2458844.5603,2458844.5603,Tiberius; Visit 2
GJ 3470 b,Eclipse,Benneke et al. 2019,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2458844.5603,2458844.5603,Supplementary Table 3
GJ 3470 b,Transmission,Biddle et al. 2014,3,CCD-2 Direct Imaging Camera,Lick Observatory's 1m Nickel Telescope,0.9222,0.9222,2456253.9729,2456350.7352,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,1,EulerCam,The Swiss Euler 1.2m Telescope,0.9222,0.9222,2455993.7141,2455993.7141,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,1,ISLE,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 1.88m Telescope,1.215,1.215,2456247.2995,2456247.2995,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,1,Large Monolithic Imager,Lowell Observatory's 4.3-m Discovery Channel Telescope,0.7886,0.7886,2456310.6962,2456310.6962,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,1,Mont4K CCD Imager,Steward Observatory's 1.5 meter Kuiper Telescope,0.7886,0.7886,2456340.7259,2456340.7259,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,2,SBIG imager,LCOGT 1m telescope at Cerro Tololo Inter-American Observatory,0.6274,0.87,2456300.6855,2456300.6855,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,3,SBIG imager,LCOGT 1m telescope at McDonald Observatory,0.6274,0.7695,2456360.7449,2456380.7648,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,2,Unknown,Large Binocular Telescope Observatory,0.3575,0.9635,2456340.7259,2456340.7259,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,1,Unknown,Calar Alto observatory's 1.23m Telescope,0.7886,0.7886,2456367.4195,2456367.4195,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,2,Unknown,European Southern Observatory (ESO) 0.6m TRAnsiting Planets and PlanetesImals Small Telescope (TRAPPIST) at La Silla Observatory,0.9222,0.9222,2455983.7417,2455993.7141,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,1,Unknown,Faulkes Telescope North,0.4326,0.4326,2456360.7449,2456360.7449,Unknown
GJ 3470 b,Transmission,Biddle et al. 2014,3,Unknown,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 0.5m Telescope,0.4858,0.7886,2456247.2995,2456247.2995,Unknown
GJ 3470 b,Transmission,Ehrenreich et al. 2014,107,Wide Field Camera 3,Hubble Space Telescope satellite,1.153,1.645,2458844.5603,2458844.5603,Unknown
GJ 3470 b,Transmission,Fukui et al. 2013,1,ISLE,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 1.88m Telescope,1.215,1.215,2456247.2995,2456247.2995,Unknown
GJ 3470 b,Transmission,Fukui et al. 2013,3,Unknown,National Astronomical Observatory of Japan's Okayama Astrophysical Observatory 0.5m Telescope,0.4858,0.7886,2456247.2995,2456247.2995,Unknown
GJ 3470 b,Transmission,Crossfield et al. 2013,6,MOSFIRE,KECK I Telescope,2.11,2.335,2456390.7758,2456390.7758,Unknown
GJ 3470 b,Transmission,Nascimbeni et al. 2013,2,LBC,Large Binocular Telescope Observatory,0.3575,0.9635,2456340.7256,2456340.7256,Unknown
GJ 3470 b,Transmission,Dragomir et al. 2015,2,Fairchild CCD486 BI,LCOGT 2m telescope at Siding Springs Observatory,0.49,0.49,2456661.0463,2456691.0739,Unknown
GJ 3470 b,Transmission,Dragomir et al. 2015,1,Fairchild CCD486 BI,LCOGT 2m telescope at Haleakala Observatory,0.49,0.49,2456681.0617,2456681.0617,Unknown
GJ 3470 b,Transmission,Dragomir et al. 2015,2,Mont4k CCD,Steward Observatory's 1.5 meter Kuiper Telescope,0.437,0.545,2456677.7278,2456697.7473,Unknown
GJ 3470 b,Transmission,Dragomir et al. 2015,4,SBIG imager,LCOGT 1m telescope at McDonald Observatory,0.49,0.763,2456370.757,2456717.7641,Unknown
GJ 3470 b,Transmission,Dragomir et al. 2015,3,SBIG imager,LCOGT 1m telescope at South African Astronomical Observatory,0.763,0.763,2456684.4005,2456714.4316,Unknown
GJ 3470 b,Transmission,Awiphan et al. 2016,1,Multiple Instruments,Multiple Observatories,0.6469,0.6469,2458844.5603,2458844.5603,Unknown
GJ 3470 b,Transmission,Awiphan et al. 2016,4,ULTRASPEC,Thai National Observatory's 2.4m Telescope,0.4858,0.9222,2458844.5603,2458844.5603,Unknown
GJ 3470 b,Transmission,Benneke et al. 2019,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,4.5,2458844.5603,2458844.5603,Unknown
GJ 3470 b,Transmission,Benneke et al. 2019,8,Space Telescope Imaging Spectrograph,Hubble Space Telescope satellite,0.552,0.895,2458844.5603,2458844.5603,Unknown
GJ 3470 b,Transmission,Benneke et al. 2019,18,Wide Field Camera 3,Hubble Space Telescope satellite,1.135,1.645,2458844.5603,2458844.5603,Unknown
GJ 3470 b,Transmission,Edwards et al. 2023,25,Wide Field Camera 3,Hubble Space Telescope satellite,1.1262,1.6294,2458844.5603,2458844.5603,G141
GJ 3470 b,Transmission,Beatty et al. 2024,72,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,3.897,4.963,2458844.5603,2458844.5603,Table 4; F444W filter; Pegasus reduction
GJ 3470 b,Transmission,Beatty et al. 2024,100,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.458,3.942,2458844.5603,2458844.5603,Table 3; F322W2 filter; Pegasus reduction
GJ 3470 b,Transmission,Beatty et al. 2024,1,Near Infrared Camera (NIRCam),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,2.096,2.096,2458844.5603,2458844.5603,Table 2; F210M filter
GJ 3470 b,Transmission,Beatty et al. 2024,15,Wide Field Camera 3,Hubble Space Telescope satellite,1.138,1.642,2458844.5603,2458844.5603,Table 5
GJ 357 b,Transmission,Taylor et al. 2025,60,Near Infrared Imager and Slitless Spectrograph (NIRISS),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.862,2.803,2458844.5603,2458844.5603,Table B1
GJ 367 b,Eclipse,Zhang et al. 2024,11,Mid-Infrared Instrument (MIRI),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,5.364,11.454,2458844.5603,2458844.5603,The fiducial emission spectrum (Table 4)
GJ 436 b,Eclipse,Deming et al. 2007,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,8.0,8.0,2458844.5603,2458844.5603,Table 1
GJ 436 b,Eclipse,Stevenson et al. 2010,5,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,3.6,24.0,2458844.5603,2458844.5603,Table 1
